,year,week,hometeam,awayteam,homescore,awayscore
0,2011,1,GNB,NOR,42,34
14,2011,1,DEN,OAK,20,23
13,2011,1,WAS,NYG,28,14
12,2011,1,TAM,DET,20,27
11,2011,1,SFO,SEA,33,17
10,2011,1,SDG,MIN,24,17
9,2011,1,BAL,PIT,35,7
8,2011,1,STL,PHI,13,31
15,2011,1,MIA,NWE,24,38
6,2011,1,KAN,BUF,7,41
5,2011,1,JAX,TEN,16,14
4,2011,1,HOU,IND,34,7
3,2011,1,ARI,CAR,28,21
2,2011,1,CLE,CIN,17,27
1,2011,1,CHI,ATL,30,12
7,2011,1,NYJ,DAL,27,24
156,2011,2,WAS,ARI,22,21
155,2011,2,SFO,DAL,24,27
154,2011,2,PIT,SEA,24,0
153,2011,2,TEN,BAL,26,13
152,2011,2,NYJ,JAX,32,3
151,2011,2,NWE,SDG,35,21
147,2011,2,DET,KAN,48,3
149,2011,2,MIN,TAM,20,24
148,2011,2,MIA,HOU,13,23
146,2011,2,DEN,CIN,24,22
145,2011,2,IND,CLE,19,27
144,2011,2,CAR,GNB,23,30
157,2011,2,NYG,STL,28,16
150,2011,2,NOR,CHI,30,13
143,2011,2,BUF,OAK,38,35
142,2011,2,ATL,PHI,35,31
169,2011,3,STL,BAL,7,37
173,2011,3,DAL,WAS,18,16
172,2011,3,TAM,ATL,16,13
171,2011,3,SEA,ARI,13,10
170,2011,3,SDG,KAN,20,17
168,2011,3,OAK,NYJ,34,24
167,2011,3,PHI,NYG,16,29
165,2011,3,NOR,HOU,40,33
166,2011,3,TEN,DEN,17,14
163,2011,3,IND,PIT,20,23
162,2011,3,CLE,MIA,17,16
161,2011,3,CIN,SFO,8,13
160,2011,3,CHI,GNB,17,27
159,2011,3,CAR,JAX,16,10
158,2011,3,BUF,NWE,34,31
164,2011,3,MIN,DET,23,26
185,2011,4,STL,WAS,10,17
184,2011,4,OAK,NWE,19,31
186,2011,4,BAL,NYJ,34,17
179,2011,4,GNB,DEN,49,23
188,2011,4,SEA,ATL,28,30
189,2011,4,TAM,IND,24,17
183,2011,4,PHI,SFO,23,24
187,2011,4,SDG,MIA,26,16
182,2011,4,KAN,MIN,22,17
175,2011,4,CIN,BUF,23,20
180,2011,4,HOU,PIT,17,10
178,2011,4,DAL,DET,30,34
177,2011,4,ARI,NYG,27,31
176,2011,4,CLE,TEN,13,31
174,2011,4,CHI,CAR,34,29
181,2011,4,JAX,NOR,10,23
195,2011,5,HOU,OAK,20,25
198,2011,5,NWE,NYJ,30,21
196,2011,5,JAX,CIN,20,30
197,2011,5,MIN,ARI,34,10
199,2011,5,NYG,SEA,25,36
190,2011,5,ATL,GNB,14,25
