,year,week,hometeam,awayteam,homescore,awayscore
0,2012,1,NYG,DAL,17,24
14,2012,1,OAK,SDG,14,22
13,2012,1,TAM,CAR,16,10
12,2012,1,TEN,NWE,13,34
11,2012,1,NYJ,BUF,48,28
10,2012,1,NOR,WAS,32,40
9,2012,1,MIN,JAX,26,23
8,2012,1,KAN,ATL,24,40
15,2012,1,BAL,CIN,44,13
6,2012,1,GNB,SFO,22,30
5,2012,1,DET,STL,27,23
4,2012,1,DEN,PIT,31,19
3,2012,1,ARI,SEA,20,16
2,2012,1,CLE,PHI,16,17
1,2012,1,CHI,IND,41,21
7,2012,1,HOU,MIA,30,10
154,2012,2,SFO,DET,27,19
153,2012,2,SEA,DAL,27,7
152,2012,2,SDG,TEN,38,10
151,2012,2,STL,WAS,31,28
150,2012,2,PIT,NYJ,27,10
149,2012,2,PHI,BAL,24,23
145,2012,2,JAX,HOU,7,27
147,2012,2,NWE,ARI,18,20
146,2012,2,MIA,OAK,35,13
144,2012,2,IND,MIN,23,20
143,2012,2,CIN,CLE,34,27
142,2012,2,CAR,NOR,35,27
155,2012,2,ATL,DEN,27,21
148,2012,2,NYG,TAM,41,34
141,2012,2,BUF,KAN,35,17
140,2012,2,GNB,CHI,23,10
166,2012,3,TEN,DET,44,41
171,2012,3,SEA,GNB,14,12
170,2012,3,WAS,CIN,31,38
169,2012,3,SDG,ATL,3,27
168,2012,3,BAL,NWE,31,30
167,2012,3,OAK,PIT,34,31
165,2012,3,NOR,KAN,24,27
163,2012,3,MIA,NYJ,20,23
164,2012,3,MIN,SFO,24,13
161,2012,3,DAL,TAM,16,10
160,2012,3,ARI,PHI,27,6
159,2012,3,IND,JAX,17,22
158,2012,3,CLE,BUF,14,24
157,2012,3,CHI,STL,23,6
156,2012,3,CAR,NYG,7,36
162,2012,3,DEN,HOU,25,31
183,2012,4,PHI,NYG,19,17
182,2012,4,NYJ,SFO,0,34
184,2012,4,STL,SEA,19,13
177,2012,4,DET,MIN,13,20
186,2012,4,DAL,CHI,18,34
181,2012,4,KAN,SDG,20,37
185,2012,4,TAM,WAS,22,24
180,2012,4,JAX,CIN,10,27
173,2012,4,ATL,CAR,30,28
178,2012,4,GNB,NOR,28,27
176,2012,4,DEN,OAK,37,6
175,2012,4,ARI,MIA,24,21
174,2012,4,BUF,NWE,28,52
172,2012,4,BAL,CLE,23,16
179,2012,4,HOU,TEN,38,14
195,2012,5,NWE,DEN,31,21
199,2012,5,WAS,ATL,17,24
196,2012,5,NYG,CLE,41,27
197,2012,5,PIT,PHI,16,14
198,2012,5,SFO,BUF,45,3
200,2012,5,NYJ,HOU,17,23
189,2012,5,CIN,MIA,13,17
191,2012,5,JAX,CHI,3,41
190,2012,5,IND,GNB,30,27
188,2012,5,CAR,SEA,12,16
187,2012,5,STL,ARI,17,3
194,2012,5,NOR,SDG,31,24
192,2012,5,KAN,BAL,6,9
193,2012,5,MIN,TEN,30,7
205,2012,6,HOU,GNB,24,42
202,2012,6,ATL,OAK,23,20
214,2012,6,SDG,DEN,24,35
213,2012,6,WAS,MIN,38,26
212,2012,6,TAM,KAN,38,10
211,2012,6,SFO,NYG,3,26
209,2012,6,BAL,DAL,31,29
208,2012,6,PHI,DET,23,26
210,2012,6,SEA,NWE,24,23
206,2012,6,MIA,STL,17,14
201,2012,6,TEN,PIT,26,23
204,2012,6,ARI,BUF,16,19
203,2012,6,CLE,CIN,34,24
207,2012,6,NYJ,IND,35,9
222,2012,7,NWE,NYJ,29,26
227,2012,7,CHI,DET,13,7
225,2012,7,STL,GNB,20,30
224,2012,7,OAK,JAX,26,23
223,2012,7,NYG,WAS,27,23
221,2012,7,MIN,ARI,21,14
226,2012,7,TAM,NOR,28,35
219,2012,7,IND,CLE,17,13
218,2012,7,CIN,PIT,17,24
217,2012,7,CAR,DAL,14,19
216,2012,7,BUF,TEN,34,35
215,2012,7,SFO,SEA,13,6
220,2012,7,HOU,BAL,43,13
241,2012,8,ARI,SFO,3,24
240,2012,8,STL,NWE,7,45
235,2012,8,KAN,OAK,16,26
234,2012,8,GNB,JAX,24,15
233,2012,8,DET,SEA,28,24
236,2012,8,NYJ,MIA,9,30
231,2012,8,DAL,NYG,24,29
232,2012,8,DEN,NOR,34,14
